Key,Title,Description
1997JJ00,1997,
1998JJ00,1998,
1999MM01,1999 January,
1999MM02,1999 February,
1999MM03,1999 March,
1999KW01,1999 1st quarter,
1999MM04,1999 April,
1999MM05,1999 May,
1999MM06,1999 June,
1999KW02,1999 2nd quarter,
1999MM07,1999 July,
1999MM08,1999 August,
1999MM09,1999 September,
1999KW03,1999 3rd quarter,
1999MM10,1999 October,
1999MM11,1999 November,
1999MM12,1999 December,
1999KW04,1999 4th quarter,
1999JJ00,1999,
2000MM01,2000 January,
2000MM02,2000 February,
2000MM03,2000 March,
2000KW01,2000 1st quarter,
2000MM04,2000 April,
2000MM05,2000 May,
2000MM06,2000 June,
2000KW02,2000 2nd quarter,
2000MM07,2000 July,
2000MM08,2000 August,
2000MM09,2000 September,
2000KW03,2000 3rd quarter,
2000MM10,2000 October,
2000MM11,2000 November,
2000MM12,2000 December,
2000KW04,2000 4th quarter,
2000JJ00,2000,
2001MM01,2001 January,
2001MM02,2001 February,
2001MM03,2001 March,
2001KW01,2001 1st quarter,
2001MM04,2001 April,
2001MM05,2001 May,
2001MM06,2001 June,
2001KW02,2001 2nd quarter,
2001MM07,2001 July,
2001MM08,2001 August,
2001MM09,2001 September,
2001KW03,2001 3rd quarter,
2001MM10,2001 October,
2001MM11,2001 November,
2001MM12,2001 December,
2001KW04,2001 4th quarter,
2001JJ00,2001,
2002MM01,2002 January,
2002MM02,2002 February,
2002MM03,2002 March,
2002KW01,2002 1st quarter,
2002MM04,2002 April,
2002MM05,2002 May,
2002MM06,2002 June,
2002KW02,2002 2nd quarter,
2002MM07,2002 July,
2002MM08,2002 August,
2002MM09,2002 September,
2002KW03,2002 3rd quarter,
2002MM10,2002 October,
2002MM11,2002 November,
2002MM12,2002 December,
2002KW04,2002 4th quarter,
2002JJ00,2002,
2003MM01,2003 January,
2003MM02,2003 February,
2003MM03,2003 March,
2003KW01,2003 1st quarter,
2003MM04,2003 April,
2003MM05,2003 May,
2003MM06,2003 June,
2003KW02,2003 2nd quarter,
2003MM07,2003 July,
2003MM08,2003 August,
2003MM09,2003 September,
2003KW03,2003 3rd quarter,
2003MM10,2003 October,
2003MM11,2003 November,
2003MM12,2003 December,
2003KW04,2003 4th quarter,
2003JJ00,2003,
2004MM01,2004 January,
2004MM02,2004 February,
2004MM03,2004 March,
2004KW01,2004 1st quarter,
2004MM04,2004 April,
2004MM05,2004 May,
2004MM06,2004 June,
2004KW02,2004 2nd quarter,
2004MM07,2004 July,
2004MM08,2004 August,
2004MM09,2004 September,
2004KW03,2004 3rd quarter,
2004MM10,2004 October,
2004MM11,2004 November,
2004MM12,2004 December,
2004KW04,2004 4th quarter,
2004JJ00,2004,
2005MM01,2005 January,
2005MM02,2005 February,
2005MM03,2005 March,
2005KW01,2005 1st quarter,
2005MM04,2005 April,
2005MM05,2005 May,
2005MM06,2005 June,
2005KW02,2005 2nd quarter,
2005MM07,2005 July,
2005MM08,2005 August,
2005MM09,2005 September,
2005KW03,2005 3rd quarter,
2005MM10,2005 October,
2005MM11,2005 November,
2005MM12,2005 December,
2005KW04,2005 4th quarter,
2005JJ00,2005,
2006MM01,2006 January,
2006MM02,2006 February,
2006MM03,2006 March,
2006KW01,2006 1st quarter,
2006MM04,2006 April,
2006MM05,2006 May,
2006MM06,2006 June,
2006KW02,2006 2nd quarter,
2006MM07,2006 July,
2006MM08,2006 August,
2006MM09,2006 September,
2006KW03,2006 3rd quarter,
2006MM10,2006 October,
2006MM11,2006 November,
2006MM12,2006 December,
2006KW04,2006 4th quarter,
2006JJ00,2006,
2007MM01,2007 January,
2007MM02,2007 February,
2007MM03,2007 March,
2007KW01,2007 1st quarter,
2007MM04,2007 April,
2007MM05,2007 May,
2007MM06,2007 June,
2007KW02,2007 2nd quarter,
2007MM07,2007 July,
2007MM08,2007 August,
2007MM09,2007 September,
2007KW03,2007 3rd quarter,
2007MM10,2007 October,
2007MM11,2007 November,
2007MM12,2007 December,
2007KW04,2007 4th quarter,
2007JJ00,2007,
2008MM01,2008 January,
2008MM02,2008 February,
2008MM03,2008 March,
2008KW01,2008 1st quarter,
2008MM04,2008 April,
2008MM05,2008 May,
2008MM06,2008 June,
2008KW02,2008 2nd quarter,
2008MM07,2008 July,
2008MM08,2008 August,
2008MM09,2008 September,
2008KW03,2008 3rd quarter,
2008MM10,2008 October,
2008MM11,2008 November,
2008MM12,2008 December,
2008KW04,2008 4th quarter,
2008JJ00,2008,
2009MM01,2009 January,
2009MM02,2009 February,
2009MM03,2009 March,
2009KW01,2009 1st quarter,
2009MM04,2009 April,
2009MM05,2009 May,
2009MM06,2009 June,
2009KW02,2009 2nd quarter,
2009MM07,2009 July,
2009MM08,2009 August,
2009MM09,2009 September,
2009KW03,2009 3rd quarter,
2009MM10,2009 October,
2009MM11,2009 November,
2009MM12,2009 December,
2009KW04,2009 4th quarter,
2009JJ00,2009,
2010MM01,2010 January,
2010MM02,2010 February,
2010MM03,2010 March,
2010KW01,2010 1st quarter,
2010MM04,2010 April,
2010MM05,2010 May,
2010MM06,2010 June,
2010KW02,2010 2nd quarter,
2010MM07,2010 July,
2010MM08,2010 August,
2010MM09,2010 September,
2010KW03,2010 3rd quarter,
2010MM10,2010 October,
2010MM11,2010 November,
2010MM12,2010 December,
2010KW04,2010 4th quarter,
